Name,Description,Tactics,Type,Tier,Diff,Bonus,Attack,Distance,Damage,Effect,Major,Severe,HP,Stress,Experiences,Feature1,Action1,Text1,Quote1,Feature2,Action2,Text2,Quote2,Feature3,Action3,Text3,Quote3,Feature4,Action4,Text4,Quote4,Feature5,Action5,Text5,Quote5,Feature6,Action6,Text6,Quote6,Feature7,Action7,Text7,Quote7
Royal Advisor,A high-ranking courtier with the ear of the local nobility.,"Curry Favor, Manufacture Evidence, Scheme",Social,2,12,-3,Wand,Far,1d8+3,phy,8,15,3,3,"Courtier +3, Administration +5",Devastating Retort,Passive,Any PC that rolls less than 17 on a social action against the Royal Advisor marks a Stress.,"“The courtier laughs and says, ‘I’m sure you think so, darling, but the rest of us live in the real world.’”",Bend Ears,Action,Mark a Stress to influence a NPC within Very Close distance with whispered words. That noble’s opinion on one matter shifts toward the Royal Advisor’s preference unless it is direct opposition to the target’s motives.,"“They lean in to whisper in the count’s ears, and you can see them changing their mind before your eyes.”",Scapegoat,Action,Spend a Fear to convince a target crowd or notable individual that one person or group is responsible for some problem facing the target. The target becomes hostile to the scapegoat until convinced of their innocence (Presence 17).,"“They’ve blamed you for the crime, and everyone has bought the lie.”",,,,,,,,,,,,,,,,
Secret-Keeper,"A cell leader with a direct channel to the Fallen Gods, wearing fine robes and wielding an ancient staff.","Amass Greater Power, Take Command, Plot in Secret",Leader,2,16,3,Sigil-laden Staff,Far,2d8+10,mag,13,26,6,4,"Fallen Lore +2, Coercion +2",Our Master’s Will,Reaction,"When the GM activates an ally within Far distance, Secret-Keeper may Mark Stress to add a token to the action tracker.","“The Secret-Keeper’s voice carries the weight of dread, chilling your blood.”",Seize Your Moment,Action,Spend a Fear to activate 1d4 allies to attack. Their attacks deal half damage.,"“When they call, the cultists answer, swarming to attack.”",Summoning Ritual,Reaction - Spell,"Countdown (6) Activate when a hostile target is spotted. When triggered, summon a Minor Demon within a Close distance. Each time Secret-Keeper marks HP, add the number of HP marked to this Countdown.","“Their leader’s hands glow with eerie light, chanting a ritual of summoning. Whatever they’re calling out to, it’s not good.”",Fallen Hounds,Reaction,"Once per scene, when Secret-Keeper takes Major or worse damage, mark a Stress to summon a Demonic Hound Pack. They appear at a Close distance and immediately activate (no token required).","“The Secret-Keeper reels from the blow, then throws a sulfurous pouch to the ground. From it springs a pack of monstrous hounds, eager for the hunt.”",,,,,,,,,,,,
Shark,"A large aquatic predator, always on the move.","Isolate Prey, Capture Sacrifices, Rise in the Ranks",Bruiser,2,14,2,Toothy Maw,Very Close,2d10+10,phy,14,28,7,3,Sense of Smell +3,Rending Bite,Passive,Armor is half as effective against damage from Shark’s attacks.,“The Shark’s teeth tear through your armor.”,Blood in the Water,Reaction,"When an enemy within Close distance of Shark marks HP from an attack by another creature, the Shark may spend Stress to immediately activate to move and attack that target.",“The Shark senses wounded prey and closes in to finish you off.”,,,,,,,,,,,,,,,,,,,,
Siren,A half-fish person with a shimmering scales and an irresistible voice.,"Lure Prey, Subdue with Song, Consume",Skulk,2,14,2,Distended Jaw Bite,Melee,2d6+3,phy,9,18,5,3,Song Repertoire +3,Enchanting Song,Action,"Spend a Fear to sing a song that affects all non-Siren creatures within Close distance. Targets must make an Instinct Reaction Roll (14) or become entranced. Other Sirens within a Close range of the target can mark Stress to increase the difficulty of this roll by +1 each. While entranced, a target cannot act and is Vulnerable. A character may mark 2 Stress to free themselves from this effect.","“Their song tugs at your soul, promising an end to all your troubles through sweet oblivion.”",Captive Audience,Passive,"If Siren attacks a target entranced by their song, the target takes 2d10+10 damage instead of normal damage.","“Incapacitated by the song, the Siren tears into you with incredible ferocity.”",,,,,,,,,,,,,,,,,,,,
Spectral Archer,"A ghostly fighter with an ethereal bow, unable to move on while their charge is vulnerable.","Rehash Old Battles, Protect Treasure, Move Through Solid Objects",Ranged,2,13,3,Longbow,Far,2d10+4,phy,6,14,3,3,Decades-old Knowledge +3,Ghost,Passive,"Spectral Archer has resistance to physical damage and may mark a Stress to move a Close distance through solid objects (walls, people, etc.).",“Their translucent form passes through solid objects like a hand through water.”,Pick Your Target,Action,"+1 attack modifier Mark a Stress to make an attack within Far distance that is in melee with at least two allies. On a success, the target takes 2d8+12 phy damage.","“They’ve forgotten their lives, but they remember how to find a good shot and take it.”",,,,,,,,,,,,,,,,,,,,
Spectral Captain,A ghostly commander leading their troops beyond death.,"Rally Troops, Rehash Old Battles, Move Through Solid Objects",Leader,2,16,3,Longbow,Far,2d10+10,phy,13,26,6,4,Decades-old Knowledge +2,Ghost,Passive,"Spectral Captain has resistance to physical damage and may mark a Stress to move a Close distance through solid objects (walls, people, etc.).",“Their translucent form passes through solid objects like a hand through water.”,Hold Fast,Reaction,"When Spectral allies are forced to make a Reaction roll, mark Stress to give all of them a +2 modifier on that roll.","“The captain bolsters their troops with words, helping them weather your attacks.”",Unending Battle,Action,Spend a Fear to return up to 1d4+1 ‘killed’ Spectral allies to the battle in the location where they first appeared. They have all Stress/HP cleared.,"“The commander calls for reinforcements, and the same ghosts you’ve already defeated re-appear without a scratch on them.”",,,,,,,,,,,,,,,,
Spectral Guardian,"A ghostly fighter with spears and swords, anchored by duty.","Rehash Old Battles, Protect Treasure, Move Through Solid Objects",Standard,2,15,1,Spear,Very Close,2d8+4,phy,7,15,4,3,Decades-old Knowledge +3,Ghost,Passive,"Spectral Guardian has resistance to physical damage and may mark a Stress to move a Close distance through solid objects (walls, people, etc.).",“Their translucent form passes through solid objects like a hand through water.”,Grave Blade,Action,"+0 attack modifier Make an attack against a target within very close range. On a success, deal 2d10+6 phy damage and the target must mark Stress.",“Their blades slash and stab and the wounds they leave run cold like ice.”,,,,,,,,,,,,,,,,,,,,
Spy,A skilled espionage agent with a knack for being in the right place to overhear secrets.,"Abuse Power, Gather Resources, Mobilize Minions",Skulk,2,14,-2,Dagger,Melee,2d6+3,phy,8,17,4,3,Scent Tracking +3,Fly on the Wall,Reaction,"Mark a Stress when something sensitive is discussed to reveal that the Spy is present in a scene observing a character or group. The PC with the highest Instinct or best chance to notice the Spy makes an Instinct Reaction Roll (17) to notice the Spy. If they fail, they can mark Stress to know that they’re being observed but not where the Spy is.",,Gathering Secrets,Action,"Spend a Fear to describe how the Spy knows a secret about a target character in the scene. If the target is a PC, they may mark 2 Stress to suggest a lesser secret that the Spy learned instead.",,,,,,,,,,,,,,,,,,,,,
Stonewraith,"A cousin of a mountain lion, with a slate-gray stone body.","Stalk Through Stone, Isolate Prey, Defend Territory",Skulk,2,13,3,Bite & Claws,Melee,2d8+12,phy,11,22,6,3,Stonesense +3,Stonestrider,Passive,Stonewraith can move through stone and earth as if it was sand/rough terrain. They only need to surface air once every twenty minutes and use Stonesense to identify pockets of air in tunnels and the surface.,“The beast leaps into the stone wall like it was merely sand.”,Rocky Ambush,Action,Mark a Stress as Stonewraith leaps from within stone/earth to attack a target. The target must make an Agility or Instinct Reaction Roll (15) or take 2d8+12 phy damage and become temporarily Vulnerable until they take their next action.,“They burst from the wall to tackle you to the floor and rend you with their teeth.”,Avalanche Roar,Action,Spend a Fear to roar and cause a cave-in. All targets within Close must make an Agility (14) Reaction Roll or suffer 2d10+10 phy damage. The rubble can be cleared with a Completion Countdown (8).,“Their voice resonates with the stone. The ceiling cracks and comes tumbling down all around you.”,,,,,,,,,,,,,,,,
War Wizard,A battle-hardened mage trained in destructive magic.,"Develop New Spells, Shatter Formations, Seek Power",Ranged,2,16,4,Staff,Far,2d8+12,phy,11,23,5,6,"Tactics +2, Magical Knowledge +2",Battle Teleport,Passive - Spell,War Wizard may mark Stress to teleport to a location within a Far distance before or after making a basic attack.,"“They pop in and out, nearly impossible to pin down.”",Warding Sphere,Reaction - Spell,"When War Wizard takes damage from an attack within Close range, the attacker takes 2d4+3 magic damage. On a result of 10+, this ability deactivates until War Wizard marks Stress to reactivate it.",“Part of the force of your blow reflects back on you.”,Eruption,Action - Spell,Mark Stress and choose a point within a Far range. A Very Close area around that point erupts into impassable terrain. Anyone within that area must make an Agility Reaction Roll (14) or be thrown back by a Close distance and take 2d10+4 physical damage. Targets that succeed are not moved and take half damage.,"“The Wizard points and the ground detonates, throwing you back.”",Arcane Artillery,Action - Spell,Spend a Fear to unleash a precise hail of magical blasts. Every opponent within Far range takes 2d10+10 magic damage. Characters may make an Agility Reaction Roll (15) to take half damage.,“They raise their staff and call down a hailstorm of magical bolts.”,,,,,,,,,,,,
Adult Flickerfly,A winged insect the size of a large house with iridescent scales and wings that move too fast to track.,"Collect Shiny Things, Hunt, Swoop, Nest",Solo,3,17,3,Wing Slash,Very Close,2d10+18,phy,20,35,8,6,,Relentless (3),Passive,Flickerfly may activate three times in one GM move (still costs 3 action tokens).,"“The Flickerfly moves with incredible speed, striking like the wind.”",Never Misses,Passive,All Evasion scores are halved (rounded up) against the Adult Flickerfly.,“The Flickerfly moves so fast that you’re on the back foot as you try to evade.”,Flight,Passive,Flickerfly may move up to Far range as part of an activation while flying.,“Their glowing wings buzz as the Flickerfly darts around the battlefield.”,Whirlwind,Action (2),"Make a spin attack, slashing at all Very Close targets. On any you succeed against, deal 2d10+6 physical damage. Armor is only half as effective when reducing this damage.","“The Flickerfly spins, wings slashing all around it in an intricate pattern.”",Mind Dance,Action,"Spend a Fear to create a magically dazzling display that grapples the minds of its targets. All creatures within Close range must make an Instinct Reaction Roll. On a failure, the target adds a token to the action tracker and the Flickerfly learns a fear the target has.","“Their shimmering wings catch the light and flash, enrapturing you and surfacing deep-seeded fears.”",Hallucinatory Breath,Action,"Countdown (Loop 1d6) Activate the first time the Flickerfly takes damage. When triggered, the Flickerfly breathes hallucinatory gas on all targets in front of them up to Far range. Targets must make an Instinct Reaction Roll (17) or be tormented by fearful hallucinations. Targets whose fears are known to the Flickerfly have disadvantage on this roll. On a failure, the target loses 2 Hope and takes 3d8+3 mag damage that cannot be reduced by armor.",“The gas seeps in and your vision fills with terrifying visions that shake your confidence.”,Uncanny Reflexes,Reaction,Flickerfly may mark Stress when taking damage from an attack within Close range to only take half damage (rounded up).,“The Flickerfly starts to dodge your attack almost before you’ve begun to make your attack.”
Demon of Avarice,A regal cloaked monstrosity with circular horns adorned with treasure.,"Consume, Sow Dissent, Fuel Avarice, Stick and Move",Support,3,17,2,Hungry Maw,Melee,2d10+6,mag,15,29,5,5,Manipulation +3,Money Talks,Passive,"All attacks against Demon of Greed are made at disadvantage unless the attacker spends a handful of gold. When a character marks HP from an attack by Demon of Avarice, they can spend a bag of gold instead of marking HP (1 bag per HP). Add a gold token to Demon of Avarice for each handful or bag of gold spent by PCs on this feature.","“The demon taunts you, saying that you must pay for the privilege of fighting it on fair terms.”",Number Must Go Up,Passive,Always add a bonus to Demon of Greed’s attacks equal to the number of gold tokens it has.,"“As it accumulates wealth, the demon’s attacks are becoming more powerful.”",Money Is Time,Action,"Spend 3 gold tokens (or a Fear) to activate 1d4+1 allies, including allies that have already activated this GM turn.",“Some of the demon’s gold disintegrates and their allies leap into action.”,,,,,,,,,,,,,,,,
Demon of Despair,"A cloaked demon-creature on stilt-limbs, seeping shadows.","Make Fear Contagious, Stick to the Shadows, Undermine Resolve",Skulk,3,18,3,Miasma Bolt,Far,4d6+5,mag,18,35,6,6,Manipulation +3,Depths of Despair,Passive,Demon of Despair deals double damage to a PC with 0 Hope.,"“Bereft of hope, the demon's blows cut you to the quick.”",Your Friends Will Fail You,Reaction,"When a PC fails with Fear, mark Stress to cause all other PCs within a Close distance to lose a Hope.","“The demon’s voice echoes in your ears, pushing you to doubt your comrades.”",Your Struggle Is Pointless,Action,Spend a Fear to weigh down the spirits of all within a Far range. All targets affected replace their Hope die with a d8 until they roll a success with Hope or take a rest.,"“The demon’s miasma fills your senses, choking your heart. Your chances of victory seem much dimmer.”",,,,,,,,,,,,,,,,
Demon of Hubris,A perfectly beautiful and infinitely cruel huge humanoid with a gleaming spear and elegant robes.,"Condescend, Declare Premature Victory, Prove Superiority",Leader,3,18,4,Perfect Spear,Very Close,2d10+18,phy,18,36,7,5,Manipulation +2,Unparalleled Skill,Action,Mark a Stress to make an attack that automatically hits.,"“The demon snarls as they push themselves to perfect action, their blow landing with unmatched skill.”",The Root of Villainy,Action,"Spend a Fear to activate any 2 Emotion Demons within Far range, even if they have activated this GM move.","“The Demon cheers on their allies, hubris driving each of them to greater feats.”",You Pale In Comparison,Reaction,"Whenever a character fails a roll within Close distance of Demon of Hubris, they mark a Stress.","“The demon taunts you for your inadequacy, critiquing your form with cruel precision.”",Double or Nothing,Passive,"When a character fails a roll, they may choose to re-roll their Fear die and take the new result. If they fail, they mark 2 Stress and Demon of Hubris clears a Stress.","“The demon’s intensity drives you to perfection, at a terrible cost.”",,,,,,,,,,,,
Demon of Jealousy,A fickle creature of spindly limbs and insatiable desires.,"Take What Belongs to Others, Join in on Others’ Success",Ranged,3,18,4,Psychic Assault,Far,2d12+15,mag,17,30,6,6,Manipulation +3,Unprotected Mind,Passive,Armor may not be used against damage from Demon of Jealousy’s Psychic Assault attacks.,"“The demon’s presence attacks your mind directly, lashing at you with covetous thoughts about your friends’ treasures.”",Me Too!,Reaction,"Mark a Stress when a PC uses a domain ability, class feature, or subclass feature. Demon of Jealousy may use this ability for the rest of the scene, paying Stress for any Hope costs. Demon of Jealousy may only have one move copied at a time.","“The demon cackles with glee after your maneuver as it duplicates what you’ve just done, turning it back on the party.”",Tag-Along,Reaction,Mark Stress when an opponent within a Close range takes damage to have Demon of Jealousy add 2d4+3 damage to the total.,"“The demon curses at their ally, demanding to be the one to bring you down.”",What’s Yours Is Mine,Reaction - Fear,"When a PC takes Severe or worse damage within Very Close range of the Demon of Jealousy, they must make a Finesse (17) reaction roll. If they fail, the Demon of Jealousy seizes one item from their burden or inventory. It may then use that item by marking Stress as per Me Too! Demon of Jealousy may not use consumables in this manner.","“The demon whips out a spindly limb and grabs something from your pack, dancing as it holds it up to its gleaming eyes.”",,,,,,,,,,,,
Demon of Wrath,"A hulking demon with boulder-sized fists, driven by endless rage.","Fuel Anger, Impress Rivals, Wreak Havoc",Bruiser,3,17,3,Lacerating Claws,Very Close,2d8+20,mag,22,44,7,5,Intimidation +2,Anger Unrelenting,Passive,"When a character marks armor to reduce damage from Demon of Wrath’s attacks, their armor is only half as effective.","“The demons’ fury powers their blows, tearing through your armor..”",Retaliation,Reaction,Mark Stress when Demon of Wrath takes damage from a target within Close damage to make an immediate basic attack against them.,"“Incensed by your blow, the demon slashes back at you.”",Battle Lust,Action,"Spend a Fear to boil the blood of all targets within a Far range. For the rest of the scene, they use a d20 as their Fear die instead of a d12.","“The demon roars, and something within your heart answers. You feel the pull to fight, to kill. That anger threatens to overtake you.”",Blood and Souls,Reaction,"Countdown (Loop 6) Activate this countdown the first time an attack is made within sight of the Demon of Wrath. This Countdown only reduces when a PC takes a violent action. When triggered, Summon 1d4 Minor Demons that are drawn to the carnage. They appear at a Close distance.","“Lesser demons are drawn to the carnage, forming out of blood shed on the battlefield.”",,,,,,,,,,,,
Dire Bat Vampire,A wide-winged bat thrall/pet endlessly loyal to their vampire owner.,"Hide, Divebomb, Protect Leader",Skulk,3,14,2,Claws & Teeth,Melee,2d4+7,phy,16,30,6,3,Bloodthirsty +3,Flying,Passive,Attack rolls against this adversary while it is flying are at +3 difficulty.,"“The bats twists and soars through the air, evading your strikes.”",Guardian,Reaction,"When any Vampire allies mark HP, you can mark Stress and have this adversary fly into melee with the attacker to make an attack at advantage against the creature that attacked the vampire. If successful, the target takes 2d6+2 phy.","“The bat dives in front of your blow, protecting its master.”",Screech,Action,Mark Stress to send a high-pitch screech out toward all targets in front of the Dire Bat within Far range. They must all mark 1d4 Stress.,"“The bat’s screech grates your spirit, taxing and infuriating at once.”",,,,,,,,,,,,,,,,
Dryad,A nature spirit in the form of a humanoid tree.,"Command, Cultivate, Drive Out, Preserve the Forest",Leader,3,16,4,Deadfall Shortbow,Far,2d10+3,phy,29,45,9,5,Forest Knowledge +4,Bramble Patch,,"Mark Stress to target a spot within Far range. Create a patch of thorns that covers everywhere within Close range of that spot. All creatures within that area suffer 2d6+2 phy damage whenever they act, and can escape with a Finesse (16) roll or by dealing 20+ damage with an attack.","“The treant sings a short riff, and thorny brambles erupt from the ground.”",We Are All One,,"When another adversary dies within Close range, spend a Fear to clear 2 HP and 2 Stress on this adversary as the fallen ally’s life force is returned to the forest.","“The dryad kneels down and draws the fading life from their ally, rising with eyes filled with tears of grief and rage.",Grow Saplings,,"Spend a Fear to grow three Treant Sapling Minions, who appear at Close range and instantly activate.","“The dryad plants seeds, which instantly grow up into animate saplings.”",,,,,,,,,,,,,,,,
Elemental Spark,A blazing mote of elemental fire.,"Blast, Consume, Gain Mass",Minion,3,15,0,Bursts of Fire,Close,7,mag,,,1,1,,Minion (9),Passive,"This adversary is defeated if they take any damage. For every 9 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Elemental Sparks within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 7 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Greater Earth Elemental,"A living landslide of boulders and dust, as large as a house.","Pummel, Knock Over, Avalanche",Bruiser,3,17,4,Boulder Fist,Very Close,2d8+20,phy,22,40,8,4,,Slow (2),Passive,This adversary costs 2 action tokens to activate.,"“They move slowly, but with great power.”",Crushing Blows,Passive,All targets hit by Greater Earth Elemental must mark an armor after taking damage (separate from reducing damage).,“The elemental hits you with the force of a falling mountain.”,Immovable Object,Passive,"Any attack that would move Greater Earth Elemental moves it two fewer ranges (Far becomes Very Close, etc.) Whenever Greater Earth Elemental takes physical damage, reduce that damage by 7.","“The elemental holds their ground, unmoved by your attack.”",Rockslide,Action,"Mark a Stress to create a rockslide in the Close area in front of Greater Earth Elemental. All creatures in this area must make an Agility Reaction Roll (19) or take 2d12+15 physical damage and become Vulnerable until their next roll with Hope. On a successful reaction roll, they take half damage.","“The elemental transforms into a living rockslide, barreling over you and trying to crush you beneath its form.”",,,,,,,,,,,,
Greater Water Elemental,A huge living wave that crashes down upon enemies.,"Disperse, Deluge, Drown",Support,3,17,3,Crashing Wave,Very Close,2d4+7,mag,17,34,5,5,,High Tide,Passive,"On a successful Crashing Wave attack, mark a Stress to also knock the target back to Close range.",“The elemental knocks you back with the force of a living wave.”,Waterlog,Action,"Mark a Stress to attack a Very Close target with a jet of water. On a success, deal 2d4+7 phy and their next action has disadvantage. On a failure, the target must mark a Stress.","“The elemental’s attack drenches you, clothes and armor and all, slowing you down.”",Drowning Embrace,Action,Spend a Fear to make an attack against all targets within Very Close range. Any targets hit by the attack become Restrained and Vulnerable as they begin drowning. The target may end this condition with a Strength or Instinct (17) roll.,“The elemental grabs you and pulls you down with the force of a riptide.”,,,,,,,,,,,,,,,,
Head Vampire,"A captivating aristocratic undead, dressed in aristocratic finery.","Intimidate, Command, Charm, Fly, Create Thralls",Leader,3,17,5,Rapier,Melee,2d8+20,phy,24,48,8,6,Aristocrat +3,Feed on Followers,Action,"When this creature is in melee with a follower (any allied adversary), they may deal 1 HP to them to clear 2 HP on themselves.",“The vampire grabs one of their lackeys and drains them of blood.”,The Hunt is On,Action,"Spend a Fear to summon 1d4 Vampires, who appear at Far range. All of these Vampires immediately activate.","“The vampire calls, and their thralls answer.”",Lifesuck,Reaction,"Every time this adversary activates, roll a d8. On a 6+, all targets within Very Close range lose 1 HP.","“The vampire’s eyes flash, and you see life force seeping out of everyone around them.”",Look Into My Eyes,Reaction,Any targets who enter melee range of the Head Vampire have to make an Instinct Reaction Roll or place an action token on the tracker.,"“Oh, you got lost for a moment didn’t you?”",,,,,,,,,,,,
Huge Green Ooze,A translucent green mound of acid taller than most humans.,"Creep up, Envelop, Camouflage, Multiply",Skulk,3,15,3,Ooze Appendage,Melee,2d8+9,mag,15,30,6,4,Blend In +3,Slow (2),Passive,The GM must spend two initiative tokens to activate Huge Green Ooze.,"“The ooze moves slowly, but with determined force.”",Acidic Form,Passive,Any creature damaged by Huge Green Ooze must also mark one Armor Slot. This does not reduce any damage.,“The ooze melts your armor wherever it touches you.”,Envelop,Action,"Make an attack against a target in melee. On a success, they must mark 2 Stress as they are enveloped. Every time an action token is placed on the tracker, they must mark an additional Stress. They will break free the next time the ooze takes Severe damage or on a Strength (17) action roll by another character to pull them out.","“The ooze encircles you, drawing you into its acidic gelatinous form.”",Split,Reaction,"When this adversary marks its 4th Hit Point, spend a Fear to split it into two Green Oozes (with no marked HP or Stress) that instantly activate.","“Just when you thought you had it on the ropes, the ooze splits into two smaller oozes, which immediately attack.”",,,,,,,,,,,,
Hydra,"A quadrupedal scaled beast with multiple long-necked heads, each filled with menacing fangs.","Devour, Regenerate, Terrify",Solo,3,18,3,Bite,Close,2d10+18,phy,19,37,7,5,,Many-Headed Menace,Passive,"Hydra begins with three heads and can have up to five. Each time the Hydra takes Major or higher damage, it loses a head.","“The hydra’s heads are terrifying, but not invulnerable.”",Relentless (X),Passive,"Hydra may activate X times per GM move, where X is the Hydra’s number of heads.","“The more heads it has, the more dangerous the hydra becomes.”",Regeneration,Action,"If the Hydra has any marked HP, spend a Fear to heal 1 HP and grow two heads.","“The stalk of the severed head splits, grows, and becomes two new heads.”",Terrifying Chorus,Action (2),All targets within Far range lose 2 Hope.,“The dissonant screams off the Hydra make your heart sink.”,Magical Weakness,Reaction,"When the Hydra takes magic damage, they become Dazed. While Dazed, they can’t use Regeneration but are immune to magic damage. The Hydra loses the Dazed condition on any roll with Fear (not including the roll that dealt it the damage that made it Dazed).","“Your magical blow seems to impede the Hydra’s ability to regenerate, but lets it shrug off other magical attacks.”",,,,,,,,
Monarch,"The sovereign ruler of a nation, wreathed in privilege of tradition with unmatched power in their domain.","Control Vassals, Destroy Rivals, Forge a Legacy",Social,3,16,0,Warhammer,Melee,2d6+3,phy,16,32,6,5,"Nobility +4, History +3",Casus Belli,Reaction,"Countdown (8) Spend a Fear to activate after the Monarch’s desire for war is first revealed. When triggered, the Monarch has created or found justification sufficient to rally the nation to war.",,Execute Them!,Action,"Mark a Stress per PC in the party (If the Monarch does not have enough Stress for the entire party, mark half their remaining Stress and spend a Fear) to have the group condemned for crimes real or imagined. A character may roll with Presence (16) to demand trial by combat or another special form of trial.",,Crownsguard,Action,"Once per scene, mark a Stress to summon a group of Tier II guards to enforce the Monarch’s will. They appear at a Close distance.",,,,,,,,,,,,,,,,,
Oak Treant,A sturdy animate old-growth tree.,"Pummel, Root Down, Hide in Plain Sight, Preserve the Forest",Bruiser,3,17,2,Branch,Very Close,2d8+20,phy,28,45,8,4,Forest Knowledge +3,Acorn Barrage,Action,"Mark a Stress and make an attack against up to three targets within Close range, pummeling them with giant acorns. Each target hit by the attack takes 2d10+5 physical damage.",“The treant hurls its giant acorns in a circular spray.”,Just a Tree Oak,Passive,"When Hidden, Oak Treant is indistinguishable from other trees around them until they next act or are identified by a roll with Instinct (17).",“It looks like any other tree.”,Take Root,Action,"Mark a Stress to have this adversary settle into place and extend its roots. Any physical damage Treant takes while rooted is reduced by 8. Treant is Restrained while rooted but may still attack, and can end its rooted state when it activates.","“The treant settles in, roots digging into the ground and bracing.”",,,,,,,,,,,,,,,,
Stag Knight,,"Maneuver, Isolate, Weed the Unwelcome, Protect the Forest",Standard,3,17,3,Bramble Sword,Melee,2d10+5,phy,22,39,7,5,Forest Knowledge +3,Canopy Dive,Passive,"When this adversary attacks from a height advantage, deal 2d12+15 phy damage on a success.","“They leap down, leading with their thorny blade.”",Thorny Armor,Reaction,"When a creature attacks this adversary in Melee range, mark a Stress to make them take 2d10+5 physical damage.",“The knight’s armor tears at you as your blow lands.”,Blade of the Forest,Action,"When this adversary is Very Close to at least two other adversaries, spend a Fear to make an attack against every target in very close range. Each target this succeeds against takes takes physical damage equal to the target’s Major threshold + 3d4.","“The knight’s blade pulses, bark glowing, then they spin with incredible speed, slashing in every direction.”",,,,,,,,,,,,,,,,
Treant Sapling,,"Surround, Pummel, Blend In, Preserve the Forest",Minion,3,14,0,Branches,Melee,8,phy,,,1,1,,Minion (8),Passive,"This adversary is defeated if they take any damage.. For every 6 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Spend a Fear to activate all adversaries with this name within very close range of a target. This group moves into melee and makes an attack roll against that target. On a success, they deal 8 damage per adversary.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Vampire,An intelligent undead with blood-stained lips and a predator’s smile.,"Bite, Charm, Deceive, Feed, Intimidate",Standard,3,16,3,Rapier,Melee,4d8,phy,18,35,5,4,Nocturnal Hunter +3,Mistform,Reaction,"When taking physical damage, this adversary can mark Stress to make an Instinct Reaction Roll. On a success, they only take half damage from the attack.","“The vampire vaporizes as you strike, part of your blow passing through them like air.”",Draining Bite,Action (2),"Make an attack on a target in melee to bite their neck. On a success, the target takes 3d10 phy. A target that marks HP from this attack loses a Hope and marks a Stress, then the Vampire clears 1 HP.","“The vampire locks on with their fangs, drinking deeply of your blood.”",,,,,,,,,,,,,,,,,,,,
Vault Guardian Gaoler,"A boxy, dust-covered construct with thick metallic swinging doors on their torso.","Pummel, Entrap, Carry Away, Protect",Support,3,16,2,Body Bash,Very Close,2d6+5,phy,19,33,6,3,,Lock Up,Action,"Mark a Stress to make an attack at Very Close range. If successful, the target is trapped within the center of the Gaoler. Entrapped targets are Restrained and can only attack the Gaoler until broken out with Strength (18) or until the Gaoler is destroyed.","“The Gaoler’s boxy torso swings open, trying to trap you inside their body.”",Blocking Shield,Passive,Any targets in Melee range have disadvantage on attack rolls. Targets trapped inside this adversary (using the Lock Up move) are immune to this effect.,“The swinging door shields interfere with your attacks.”,,,,,,,,,,,,,,,,,,,,
Vault Guardian Sentinel,A dust-covered golden construct with boxy limbs and a huge mace for one hand.,"Pummel, Surround, Expunge, Protect",Bruiser,3,17,3,Charged Mace,Very Close,2d12+15,phy,25,43,8,3,,Kinetic Slam,Passive,Targets damaged by a Charged Mace attack are knocked back to Very Close range.,"“Their blows knock you back, clearing space.”",Box In,Action,Mark a Stress to choose a target within Very Close range to focus on. That target adds two tokens to the action tracker each time they take an action while they remain within Very Close range of this adversary.,"“The Sentinel pushes you around, fouling your weapons.”",Mana Bolt,Action,"Spend a Fear to lob explosive magic at a spot within Far range. All targets within Very Close range of that spot must make an Agility Reaction Roll (19). On a failure, they take 2d8+20 magic damage and are knocked back into close range of where they were before. On a success, they take half damage.","“The mace glows, then the construct lobs a coruscating ball of power that explodes with incredible power.”",,,,,,,,,,,,,,,,
Vault Guardian Turret,,"Concentrate Fire, Mark, Lock Down, Protect",Ranged,3,16,3,Magitech Cannon,Far,2d12+15,mag,20,32,5,4,,Slow (2),Passive,It takes 2 action tokens to activate this adversary.,"“They move slowly, having a hard time keeping up with you.”",Concentrate Fire,Action,Mark a Stress when another adversary does damage to a target within Far range of the Turret to add the Turret’s damage to the total.,“The Turret locks on to their ally’s attack and pours on supporting fire.”,Mark Target,Action,Spend a Fear to mark a target within Far range. The marked target’s Evasion is halved. Removed Marked if the Turret is destroyed or the Marked target becomes Hidden.,“The Turret beeps and you feel a presence watching you as if from all sides.”,Detonation,Reaction,"When this adversary is destroyed, it explodes to deal 3d20 magic damage to all targets within Very Close range. Targets may make a reaction roll with Agility (17) to take half damage. If they roll a critical success, they take no damage.","“The turret slums, then a beeping starts and increases in pace before the whole thing explodes in a burst of ancient magic.”",,,,,,,,,,,,
